symbol,name,sector,industry,annualized_return,volatility,total_return,years,market_cap,outperformed_market,return_vs_market,volatility_vs_market,risk_adjusted_return,market_risk_adjusted,early_boom_candidate,hindsight_trap_score
NVDA,NVIDIA Corporation,Technology,Semiconductors,0.4788205485781316,0.45552241161334217,324.5086981357794,14.787132101300479,3385139920896.0,True,0.32589651270842945,0.2796402735964875,1.0511459729989432,0.8694688249414364,False,2.0812103391255503
AVGO,Broadcom Inc.,Technology,Semiconductors,0.39255145859963414,0.3604919590929243,132.83077366920332,14.787132101300479,840190656512.0,True,0.23962742272993198,0.18460982107606966,1.088932634135248,0.8694688249414364,False,1.7137441472178276
NFLX,"Netflix, Inc.",Communication Services,Entertainment,0.3653641739123976,0.5024797250137406,98.98560575889478,14.787132101300479,327834861568.0,True,0.21244013804269546,0.32659758699688596,0.7271222215033781,0.8694688249414364,False,2.020527184036192
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,0.35987574404895417,0.48717713899744064,93.2042965180531,14.787132101300479,33105321984.0,True,0.20695170817925201,0.311295000980586,0.7386958772111939,0.8694688249414364,False,2.4180844478277805
FICO,Fair Isaac Corporation,Technology,Software - Application,0.35804376008606953,0.34059628818405285,91.34500138027327,14.787132101300479,48386277376.0,True,0.20511972421636737,0.1647141501671982,1.0512262538004769,0.8694688249414364,False,1.990336859528997
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,0.3508658729890146,0.4518220732694782,84.38474823270987,14.787132101300479,55505879040.0,True,0.19794183711931246,0.27593993525262356,0.7765576180244502,0.8694688249414364,False,2.0761927106079967
TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,0.3214132588236309,0.3075420479411866,60.633191449332905,14.787132101300479,78396604416.0,True,0.16848922295392876,0.13165990992433196,1.04510346138131,0.8694688249414364,False,1.585075811109069
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,0.31690049484119065,0.3000696980494478,57.592958254185014,14.787132101300479,14809048064.0,True,0.1639764589714885,0.12418756003259313,1.056089624847656,0.8694688249414364,False,2.754641474822172
CTAS,Cintas Corporation,Industrials,Specialty Business Services,0.30829969933470647,0.24769279009812428,52.18208973899295,14.787132101300479,86314057728.0,True,0.1553756634650043,0.07181065208126963,1.2446858029762293,0.8694688249414364,False,1.3998368616629284
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,0.30582905753960854,0.5551074308882584,50.716180956793366,14.787132101300479,22705037312.0,True,0.15290502166990638,0.3792252928714038,0.5509367025590602,0.8694688249414364,False,2.743277722139723
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,0.29821547941184967,0.303344333711743,46.43226417799722,14.787132101300479,42760818688.0,True,0.1452914435421475,0.12746219569488837,0.9830923022786141,0.8694688249414364,False,1.7426255240881188
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,0.29367779734506994,0.4136011216314923,44.03888991246991,14.787132101300479,62011092992.0,True,0.14075376147536778,0.23771898361463767,0.7100507759423561,0.8694688249414364,False,1.939280265373973
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,0.2919075959982662,0.4067773392623443,43.13612194583033,14.787132101300479,44670967808.0,True,0.13898356012856405,0.23089520124548962,0.7176102693616502,0.8694688249414364,False,2.045483711014635
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,0.2880806940822591,0.30330726956794335,41.241829060108756,14.787132101300479,70787940352.0,True,0.13515665821255696,0.1274251315510887,0.9497981848329113,0.8694688249414364,False,1.6374753398038817
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,0.28572329776323424,0.386583576367967,40.11295579934292,14.787132101300479,94408646656.0,True,0.13279926189353208,0.21070143835111232,0.7390983870749606,0.8694688249414364,False,1.7515528630247381
SMCI,"Super Micro Computer, Inc.",Technology,Computer Hardware,0.28553562544119826,0.570500570639458,40.0243058645592,14.787132101300479,27673800704.0,True,0.1326115895714961,0.3946184326226034,0.5005001574689916,0.8694688249414364,False,2.6803181784910253
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,0.28382079703735075,0.380123984089874,39.222493968000066,14.787132101300479,109207609344.0,True,0.1308967611676486,0.20424184607301937,0.7466532208350368,0.8694688249414364,False,1.6044223059184142
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,0.27902148006933536,0.24750427761437868,37.055436816973106,14.787132101300479,826564018176.0,True,0.1260974441996332,0.07162213959752403,1.1273400312864965,0.8694688249414364,False,1.134455933820769
AAPL,Apple Inc.,Technology,Consumer Electronics,0.27520091857350093,0.27987023945204675,35.40868177685455,14.787132101300479,3572963475456.0,True,0.12227688270379877,0.1039881014351921,0.9833161221868827,0.8694688249414364,False,1.2819702543766671
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,0.26886249445678767,0.47839916968248936,32.82242696509541,14.787132101300479,29004619776.0,True,0.11593845858708551,0.3025170316656347,0.5620045173473651,0.8694688249414364,False,2.30498800317201
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,0.2688202555268939,0.3452130730664932,32.805781826785946,14.787132101300479,81333411840.0,True,0.11589621965719177,0.16933093504963853,0.7787082138546797,0.8694688249414364,False,1.658362700267111
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,0.26446233275502307,0.36063987095163247,31.128907272755022,14.787132101300479,90905395200.0,True,0.11153829688532091,0.18475773293477782,0.7333141841948243,0.8694688249414364,False,1.6590054502601028
